,Entity,Continent,variable,value,Suma Sector,Suma Sector Cont,Porcentaje Sector,Porcentaje Sector Continenete
60,Togo,Africa,Uso de tierras y bosques,819999.9928,3676689972,1388910003,0.022302669,0.059039102
61,Uganda,Africa,Uso de tierras y bosques,15850000.38,3676689972,1388910003,0.431094286,1.141182679
62,Zambia,Africa,Uso de tierras y bosques,53790000.92,3676689972,1388910003,1.463000724,3.87282119
63,Zimbabwe,Africa,Uso de tierras y bosques,87430000.31,3676689972,1388910003,2.37795411,6.294864326
64,Argentina,South America,Uso de tierras y bosques,29860000.61,3676689972,815849998.5,0.812143554,3.659986599
65,Bolivia,South America,Uso de tierras y bosques,77930000.31,3676689972,815849998.5,2.119569528,9.552001036
66,Brazil,South America,Uso de tierras y bosques,394369995.1,3676689972,815849998.5,10.72622381,48.33854212
67,Colombia,South America,Uso de tierras y bosques,83190002.44,3676689972,815849998.5,2.26263305,10.19672766
68,Ecuador,South America,Uso de tierras y bosques,26170000.08,3676689972,815849998.5,0.711781528,3.207697509
69,Guyana,South America,Uso de tierras y bosques,14119999.89,3676689972,815849998.5,0.38404108,1.730710291
70,Paraguay,South America,Uso de tierras y bosques,47049999.24,3676689972,815849998.5,1.279683617,5.766991399
71,Peru,South America,Uso de tierras y bosques,89930000.31,3676689972,815849998.5,2.445950053,11.02285965
72,Suriname,South America,Uso de tierras y bosques,9369999.886,3676689972,815849998.5,0.254848789,1.148495422
73,Venezuela,South America,Uso de tierras y bosques,43860000.61,3676689972,815849998.5,1.192920832,5.375988318
74,Australia,Oceania,Uso de tierras y bosques,22510000.23,3676689972,109090001.4,0.612235473,20.63433856
75,Papua New Guinea,Oceania,Uso de tierras y bosques,41060001.37,3676689972,109090001.4,1.116765397,37.63864775
76,Samoa,Oceania,Uso de tierras y bosques,109999.9994,3676689972,109090001.4,0.002991821,0.100834172
77,Solomon Islands,Oceania,Uso de tierras y bosques,45409999.85,3676689972,109090001.4,1.235078296,41.62617953
78,Bahamas,North America,Uso de tierras y bosques,9999.999776,3676689972,94860000.92,0.000271984,0.010541851
79,Belize,North America,Uso de tierras y bosques,5300000.191,3676689972,94860000.92,0.144151403,5.587181256
